"numetatdeservice";"id_civil";"affectionactuelle";"direction";"lieudedetachement";"matricule";"fonction";"datederecrutement";"id_dettache";"indice";"interruptiondu";"au";"sortantecole";"id_rattache"
"257";"188";"EMIV";"DIA";"-";"S/M";"Couturi̩re";"2010-01-01";"1";"-";"0000-00-00";"0000-00-00";;"1"
"258";"189";"EMIV";"DIA";"-";"S/M";"Couturi̩re";"2013-08-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"259";"190";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"260";"191";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"261";"192";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2014-12-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"262";"193";"EMIV";"DIA";"-";"S/M";"Secr̩taire";"2013-08-01";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"263";"194";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2013-08-01";"1";"275 CT";"0000-00-00";"0000-00-00";;"1"
"264";"195";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"265";"196";"EMIV";"DIA";"-";"S/M";"Secr̩taire";"2011-06-01";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"266";"197";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2014-12-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"267";"198";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2010-01-01";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"268";"199";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";"-";"1"
"269";"200";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"270";"201";"EMIV";"DIA";"-";"S/M";"Couturi̬re";"2011-06-01";"1";"160 CT";"0000-00-00";"0000-00-00";"-";"1"
"272";"203";"EMIV";"DIA";"-";"S/M";"Couturi̩re";"2014-12-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"273";"204";"EMIV";"DIA";"-";"S/M";"Couturi̩re";"2008-04-01";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"274";"205";"EMIV";"DIA";"-";"S/M";"Couturi̩re";"2008-04-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"275";"206";"EMIV";"DIA";"-";"S/M";"Couturi̩re";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"276";"207";"EMIV";"DIA";"-";"S/M";"Couturi̩re";"2011-06-01";"1";"160 CT";"0000-00-00";"0000-00-00";;"1"
"277";"208";"EMIV";"DIA";"-";"S/M";"Couturi̩re";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"278";"209";"EMIV";"DIA";"-";"S/M";"Couturi̩re";"1981-11-18";"1";"275 CT";"0000-00-00";"0000-00-00";;"1"
"279";"210";"EMIV";"DIA";"-";"S/M";"Couturi̩re";"2015-12-01";"1";"275 CT";"0000-00-00";"0000-00-00";;"1"
"280";"211";"EMIV";"DIA";"-";"S/M";"Mecano";"2014-12-01";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"281";"212";"-";"DIA";"-";"S/M";"secr̩taire";"2011-06-01";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"282";"213";"-";"DIA";"-";"S/M";"Cordonnier";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"283";"214";"-";"DIA";"-";"S/M";"Cordonnier";"2006-11-01";"1";"275 CT";"0000-00-00";"0000-00-00";;"1"
"284";"215";"-";"DIA";"-";"S/M";"Cordonnier";"2011-06-01";"1";"320 CT";"0000-00-00";"0000-00-00";;"1"
"285";"216";"-";"DIA";"-";"S/M";"Femme de m̩nage";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"286";"217";"-";"DIA";"-";"S/M";"Magasini̬re";"2007-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"287";"218";"-";"DIA";"-";"S/M";"Cordonni̬re";"2011-06-01";"1";"160 CT";"0000-00-00";"0000-00-00";;"1"
"288";"219";"-";"DIA";"-";"S/M";"Magasinier";"2008-04-01";"1";"160 CT";"0000-00-00";"0000-00-00";;"1"
"289";"220";"-";"DIA";"-";"186.743";"Couturi̬re";"1980-01-12";"1";"320 CT";"0000-00-00";"0000-00-00";;"1"
"290";"221";"DIA/EMIC";"DIA";"-";"263287";"Comptable";"1988-01-29";"1";"440";"0000-00-00";"0000-00-00";;"1"
"291";"222";"EMIV- EMIC";"DIA";"-";"203520";"M̩canicien";"1981-10-16";"1";"320";"0000-00-00";"0000-00-00";;"1"
"292";"223";"DIA/EMIC";"DIA";"-";"202125";"Coordonier";"1979-02-16";"1";"515";"0000-00-00";"0000-00-00";;"1"
"293";"224";"DIA/COURRIER";"DIA";"-";"263100";"secr̩taire";"1988-06-03";"1";"340";"0000-00-00";"0000-00-00";"-";"1"
"294";"225";"DIA/ARCHIVES";"DIA";"-";"263065";"secr̩taire";"1987-10-06";"1";"-";"0000-00-00";"0000-00-00";;"1"
"295";"226";"DIA/SCMT";"DIA";"-";"241080";"Planton";"1987-01-27";"1";"675";"0000-00-00";"0000-00-00";;"1"
"296";"227";"DIA/CISL";"DIA";"-";"242544";"Documentation";"1987-06-19";"1";"1410";"0000-00-00";"0000-00-00";"-";"1"
"297";"228";"-";"DIA";"-";"159.300";"Couturi̩re";"1977-10-15";"1";"320 CT";"0000-00-00";"0000-00-00";"-";"1"
"298";"229";"-";"DIA";"-";"S/M";"secr̩taire";"2011-06-01";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"299";"230";"-";"DIA";"-";"S/M";"secr̩taire";"2011-06-01";"1";"275 CT";"0000-00-00";"0000-00-00";"-";"1"
"300";"231";"-";"DIA";"-";"-";"Menuisier";"2007-06-01";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"301";"232";"-";"DIA";"-";"S/M";"secr̩taire";"2015-11-01";"1";"350 CT";"0000-00-00";"0000-00-00";;"1"
"302";"233";"-";"DIA";"-";"S/M";"Menuisier";"2015-01-05";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"303";"234";"-";"DIA";"-";"S/M";"Soudeur";"2014-12-01";"1";"195 CT";"0000-00-00";"0000-00-00";"-";"1"
"304";"235";"-";"DIA";"-";"S/M";"Electricien";"2014-12-01";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"305";"236";"-";"DIA";"-";"S/M";"Menuisier";"2015-01-05";"1";"370 CT";"0000-00-00";"0000-00-00";;"1"
"306";"237";"-";"DIA";"-";"163.959";"Menuisier";"1978-07-01";"1";"320 CT";"0000-00-00";"0000-00-00";;"1"
"307";"238";"-";"DIA";"-";"S/M";"Menuisier";"2015-01-05";"1";"195 CT";"0000-00-00";"0000-00-00";"-";"1"
"308";"239";"-";"DIA";"-";"S/M";"secr̩taire";"2013-08-01";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"309";"240";"-";"DIA";"-";"S/M";"Secr̩taire";"2013-08-01";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"310";"241";"-";"DIA";"-";"S/M";"Menuisier";"2015-01-05";"1";"370 CT";"0000-00-00";"0000-00-00";"-";"1"
"311";"242";"-";"DIA";"-";"S/M";"Menuisier";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"312";"243";"-";"DIA";"-";"S/M";"Secr̩taire";"2007-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"313";"244";"-";"DIA";"-";"263119";"Menuisier";"1987-10-26";"1";"275 CT";"0000-00-00";"0000-00-00";;"1"
"314";"245";"-";"DIA";"-";"263117";"COUTURIERE";"1981-11-02";"1";"275 CT";"0000-00-00";"0000-00-00";;"1"
"315";"246";"-";"DIA";"-";"263120";"COUTURIERE";"1983-10-12";"1";"275 CT";"0000-00-00";"0000-00-00";;"1"
"316";"247";"-";"DIA";"-";"S/M";"Magasiniere";"2011-06-01";"1";"160 CT";"0000-00-00";"0000-00-00";;"1"
"317";"248";"-";"DIA";"-";"S/M";"Magasinier";"2013-08-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"318";"249";"-";"DIA";"-";"S/M";"Magasinier";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"319";"250";"-";"DIA";"-";"S/M";"Magasinier";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"320";"251";"-";"DIA";"-";"S/M";"Macon";"0000-00-00";"1";"150 CT";"0000-00-00";"0000-00-00";"-";"1"
"321";"252";"-";"DIA";"-";"S/M";"Menuisier";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"322";"253";"-";"DIA";"-";"150.090";"Mecanographe";"1997-08-10";"1";"275 CT";"0000-00-00";"0000-00-00";;"1"
"323";"254";"-";"DIA";"-";"S/M";"Menuisier";"2015-10-01";"1";"275 CT";"0000-00-00";"0000-00-00";;"1"
"324";"255";"-";"DIA";"-";"S/M";"Soudeur";"2013-08-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"325";"256";"-";"DIA";"-";"S/M";"Soudeur";"2014-12-01";"1";"160 CT";"0000-00-00";"0000-00-00";;"1"
"326";"257";"-";"DIA";"-";"S/M";"Soudeur";"2015-12-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"327";"258";"-";"DIA";"-";"S/M";"Relieur";"2011-06-01";"1";"160 CT";"0000-00-00";"0000-00-00";;"1"
"328";"259";"-";"DIA";"-";"S/M";"Conducteur  Offset";"2007-06-01";"1";"160 CT";"0000-00-00";"0000-00-00";"-";"1"
"329";"260";"-";"DIA";"-";"S/M";"Brocheuse";"2011-06-01";"1";"160 CT";"0000-00-00";"0000-00-00";;"1"
"330";"261";"-";"DIA";"-";"S/M";"Brocheur";"2014-12-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"331";"262";"-";"DIA";"-";"S/M";"Infographiste-Paoiste";"2013-08-01";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"332";"263";"-";"DIA";"-";"S/M";"Brocheur";"2008-04-01";"1";"275 CT";"0000-00-00";"0000-00-00";;"1"
"333";"264";"-";"DIA";"-";"-";"Magasinier";"2011-06-01";"1";"320 CT";"0000-00-00";"0000-00-00";;"1"
"334";"265";"-";"DIA";"-";"S/M";"Conducteur  Offset";"2007-06-01";"1";"160 CT";"0000-00-00";"0000-00-00";;"1"
"335";"266";"-";"DIA";"-";;"Brocheuse";"2015-10-05";"1";"350 CT";"0000-00-00";"0000-00-00";;"1"
"336";"267";"-";"DIA";"-";"S/M";"Magasiniere";"2015-10-05";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"337";"268";"-";"DIA";"-";"S/M";"Brocheuse";"2015-10-05";"1";"275 CT";"0000-00-00";"0000-00-00";;"1"
"338";"269";"-";"DIA";"-";"S/M";"Infographiste";"2015-10-01";"1";"275 CT";"0000-00-00";"0000-00-00";;"1"
"339";"270";"-";"DIA";"-";"S/M";"Serveur";"2011-06-01";"10";"195 CT";"0000-00-00";"0000-00-00";;"1"
"340";"271";"-";"DIA";"-";"S/M";"comptable";"2014-12-01";"10";"320 CT";"0000-00-00";"0000-00-00";;"1"
"341";"272";"-";"DIA";"-";"S/M";"Secr̩taire";"2015-08-01";"10";"150 CT";"0000-00-00";"0000-00-00";;"1"
"342";"273";"-";"DIA";"-";"263.065";"Mątre d'H̫tel";"1994-03-01";"1";"350 CT";"0000-00-00";"0000-00-00";;"1"
"343";"274";"-";"DIA";"-";"263.130";"Cuisini̬r";"1983-09-26";"10";"195 CT";"0000-00-00";"0000-00-00";;"1"
"344";"275";"-";"DIA";"-";"S/M";"Barmad";"2013-08-01";"10";"195 CT";"0000-00-00";"0000-00-00";;"1"
"345";"276";"-";"DIA";"-";"S/M";"Mątre d'H̫tel";"2010-01-01";"10";"320 CT";"0000-00-00";"0000-00-00";;"1"
"346";"277";"-";"DIA";"-";"S/M";"Caissier";"2011-06-01";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"347";"278";"-";"DIA";"-";"S/M";"Secr̩taire";"2015-11-01";"10";"150 CT";"0000-00-00";"0000-00-00";;"1"
"348";"279";"-";"DIA";"-";"263.102";"D̩coration";"1988-03-09";"1";"275 CT";"0000-00-00";"0000-00-00";;"1"
"349";"280";"-";"DIA";"-";"S/M";"Magasinier";"2011-06-01";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"350";"281";"-";"DIA";"-";"263.093";"Cuisini̬r";"1995-02-01";"1";"275 CT";"0000-00-00";"0000-00-00";;"1"
"351";"282";"-";"DIA";"-";"S/M";"Informaticien";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"352";"283";"-";"DIA";"-";"-";"Femme de m̩nage";"1988-02-12";"1";"195 CT";"0000-00-00";"0000-00-00";;"1"
"353";"284";"-";"DIA";"-";"S/M";"Resp. Mat̩riel";"2015-10-01";"1";"275 CT";"0000-00-00";"0000-00-00";;"1"
"354";"285";"-";"DIA";"-";"S/M";"Resp. Mat̩riel";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"355";"286";"-";"DIA";"-";"S/M";"Comptable";"2014-12-01";"1";"275 CT";"0000-00-00";"0000-00-00";;"1"
"356";"287";"-";"DIA";"-";"S/M";"Resp. Mat̩riel";"2011-06-01";"1";"150 CT";"0000-00-00";"0000-00-00";;"1"
"357";"288";"-";"DIA";"-";"S/M";"Serveur";"2013-08-01";"17";"195 CT";"0000-00-00";"0000-00-00";;"1"
"358";"289";"-";"DIA";"-";"S/M";"Serveur";"2013-08-08";"17";"195 CT";"0000-00-00";"0000-00-00";;"1"
"359";"290";"-";"DIA";"-";"S/M";"Vaguemestre";"1984-01-01";"17";"160 CT";"0000-00-00";"0000-00-00";;"1"
"360";"291";"-";"DIA";"-";"S/M";"Barmad";"2011-06-01";"12";"150 CT";"0000-00-00";"0000-00-00";;"1"
"361";"292";"-";"DIA";"-";"S/M";"Electricien";"2014-12-01";"12";"195 CT";"0000-00-00";"0000-00-00";;"1"
"362";"293";"-";"DIA";"-";"S/M";"Cuisini̬re";"2007-06-01";"18";"160 CT";"0000-00-00";"0000-00-00";;"1"
"363";"294";"-";"DIA";"-";"263.134";"Mątre d'H̫tel";"1987-03-27";"1";"160 CT";"0000-00-00";"0000-00-00";;"1"
"364";"295";"-";"DIA";"-";"S/M";"Secr̩taire";"2014-12-01";"18";"150 CT";"0000-00-00";"0000-00-00";;"1"
"365";"296";"-";"DIA";"-";"S/M";"Secr̩taire";"2014-12-01";"18";"195 CT";"0000-00-00";"0000-00-00";;"1"
"366";"297";"-";"DIA";"-";"263.148";"Femme de m̩nage";"1987-03-26";"18";"275 CT";"0000-00-00";"0000-00-00";;"1"
"367";"298";"-";"DIA";"-";"S/M";"Cuisini̬r";"2010-01-01";"18";"160 CT";"0000-00-00";"0000-00-00";;"1"
"368";"299";"-";"DIA";"-";"S/M";"Electricien";"2014-12-01";"11";"195 CT";"0000-00-00";"0000-00-00";;"1"
"369";"300";"-";"DIA";"-";"S/M";"Femme de m̩nage";"2011-06-01";"18";"150 CT";"0000-00-00";"0000-00-00";;"1"
"370";"301";"-";"DIA";"-";"S/M";"Patissi̬re";"2015-10-01";"19";"195 CT";"0000-00-00";"0000-00-00";;"1"
"371";"302";"-";"DIA";"-";"263.103";"Magasinier";"1988-03-08";"12";"275 CT";"0000-00-00";"0000-00-00";;"1"
"372";"303";"-";"DIA";"-";"S/M";"Delegu̩ ORDSEC";"2011-06-01";"15";"370 CT";"0000-00-00";"0000-00-00";;"1"
"373";"304";"-";"DIA";"-";"S/M";"UGPM Secr̩taire";"2011-06-01";"15";"350 CT";"0000-00-00";"0000-00-00";;"1"
"374";"305";"-";"DIA";"-";"S/M";"SG";"1994-03-01";"15";"325 CT";"0000-00-00";"0000-00-00";;"1"
"375";"306";"-";"DIA";"-";"S/M";"Femme de m̩nage";"1995-09-01";"15";"275 CT";"0000-00-00";"0000-00-00";;"1"
"376";"307";"-";"DIA";"-";"S/M";"UGPM";"2004-04-24";"15";"200 CT";"0000-00-00";"0000-00-00";;"1"
"377";"308";"-";"DIA";"-";"S/M";"Secr̩taire";"2011-06-01";"15";"200 CT";"0000-00-00";"0000-00-00";;"1"
"378";"309";"-";"DIA";"-";"S/M";"Secr̩taire";"2008-04-01";"15";"160 CT";"0000-00-00";"0000-00-00";;"1"
"379";"310";"-";"DIA";"-";"S/M";"V̩rificateur Budget";"2011-06-01";"15";"160 CT";"0000-00-00";"0000-00-00";;"1"
"380";"311";"-";"DIA";"-";"S/M";"Femme de m̩nage";"1987-03-26";"15";"150 CT";"0000-00-00";"0000-00-00";;"1"
"381";"312";"-";"DIA";"-";"S/M";"Secr̩taire";"2014-12-01";"15";"150 CT";"0000-00-00";"0000-00-00";;"1"
"382";"313";"-";"DIA";"-";"S/M";"Femme de m̩nage";"2014-12-01";"15";"125 CT";"0000-00-00";"0000-00-00";;"1"
"383";"314";"-";"DIA";"-";"S/M";"Secr̩taire";"2011-06-01";"15";"125 CT";"0000-00-00";"0000-00-00";;"1"
"384";"315";"-";"DIA";"-";"S/M";"COUTURIERE";"2011-06-01";"23";"125 CT";"0000-00-00";"0000-00-00";;"1"
"385";"316";"-";"DIA";"-";"S/M";"Secr̩taire";"2011-06-01";"23";"175 CT";"0000-00-00";"0000-00-00";;"1"
"386";"317";"-";"DIA";"-";"S/M";"Secr̩taire";"2011-06-01";"23";"125 CT";"0000-00-00";"0000-00-00";;"1"
"387";"318";"-";"DIA";"-";"S/M";"Secr̩taire";"2011-06-01";"23";"125 CT";"0000-00-00";"0000-00-00";;"1"
"388";"319";"-";"DIA";"-";"S/M";"Secr̩taire";"2013-08-01";"17";"320 CT";"0000-00-00";"0000-00-00";;"1"
"389";"320";"-";"DIA";"-";"S/M";"COUTURIERE";"2015-10-01";"5";"195 CT";"0000-00-00";"0000-00-00";;"1"
"390";"321";"-";"DIA";"-";"S/M";"Secr̩taire";"2014-12-01";"18";"150 CT";"0000-00-00";"0000-00-00";;"1"
